"","x8dccsscr","x8nrsscr","x8flanker"
"971",NA,NA,NA
"972",7.3,104,9.2126
"973",7.3225,102,7.0289
"974",NA,NA,NA
"975",6.9343,114,7.3834
"976",7.307,76,7.9647
"977",8.9902,86,7.9456
"978",8.2738,130,8.2652
"979",7.9563,96,8.366
"980",7.47,87,7.5523
"981",NA,NA,NA
"982",8.7829,118,8.3412
"983",NA,NA,NA
"984",NA,NA,NA
"985",7.6798,91,7.742
"986",7.6348,101,8.5062
"987",7.4204,105,6.5686
"988",7.7821,86,8.4866
"989",8.24719999999999,135,8.73409999999999
"990",7.4413,120,7.1771
"991",NA,NA,NA
"992",6.4112,105,7.1188
"993",NA,NA,NA
"994",7.0178,100,8.8872
"995",7.632,121,8.7878
"996",8.23009999999999,107,9.1584
